SCHEMA,TABLE,COLUMN,TYPE,MAX_LEN,NULLABLE,DEFAULT,POS,PK
"dbo","AA_AA_COLECOES","HANDLE","int",,NO,"",1,PK
"dbo","AA_AA_COLECOES","Z_GRUPO","int",,YES,"",2,
"dbo","AA_AA_COLECOES","VERSAOESPELHAMENTO","int",,YES,"",3,
"dbo","AA_AA_COLECOES","CORRELATIONID","varchar",40,YES,"",4,
"dbo","AA_AA_COLECOES","HANDLEREGISTROREFERENCIA","int",,YES,"",5,
"dbo","AA_AA_FORMULARIOSOLICITACOES","HANDLE","int",,NO,"",1,PK
"dbo","AA_AA_FORMULARIOSOLICITACOES","Z_GRUPO","int",,YES,"",2,
"dbo","AA_AA_FORMULARIOSOLICITACOES","CODIGOINTERNO","varchar",50,YES,"",3,
"dbo","AA_AA_FORMULARIOSOLICITACOES","FORMULARIOVERSAO","int",,YES,"",4,
"dbo","AA_AA_FORMULARIOSOLICITACOES","NOME","varchar",100,YES,"",5,
"dbo","AA_AA_FORMULARIOSOLICITACOES","PRIORIDADE","int",,YES,"",6,
"dbo","AA_AA_FORMULARIOSOLICITACOES","HANDLEREGISTROREFERENCIA","int",,YES,"",7,
"dbo","AA_AA_USUARIOS","HANDLE","int",,NO,"",1,PK
"dbo","AA_AA_USUARIOS","Z_GRUPO","int",,YES,"",2,
"dbo","AA_AA_USUARIOS","VERSAOESPELHAMENTO","int",,YES,"",3,
"dbo","AA_AA_USUARIOS","CORRELATIONID","varchar",40,YES,"",4,
"dbo","AA_AA_USUARIOS","HANDLEREGISTROREFERENCIA","int",,YES,"",5,
"dbo","AA_ACOESCOLECAOIMPLEMENTADA","HANDLE","int",,NO,"",1,PK
"dbo","AA_ACOESCOLECAOIMPLEMENTADA","Z_GRUPO","int",,YES,"",2,
"dbo","AA_ACOESCOLECAOIMPLEMENTADA","CAMPOENTIDADE","int",,YES,"",3,
"dbo","AA_ACOESCOLECAOIMPLEMENTADA","CODIGOINTERNO","varchar",40,YES,"",4,
"dbo","AA_ACOESCOLECAOIMPLEMENTADA","TIPO","int",,YES,"",5,
"dbo","AA_ACOESCOLECAOIMPLEMENTADA","ESTILO","int",,YES,"",6,
"dbo","AA_ACOESCOLECAOIMPLEMENTADA","TITULO","varchar",20,YES,"",7,
"dbo","AA_ACOESCOLECAOIMPLEMENTADA","ENVIAR","char",1,YES,"",8,
"dbo","AA_ACOESCOLECAOIMPLEMENTADA","COLECAOIMPLEMENTADA","int",,YES,"",9,
"dbo","AA_ADM_ESTABELECIMENTOS","HANDLE","int",,NO,"",1,PK
"dbo","AA_ADM_ESTABELECIMENTOS","Z_GRUPO","int",,YES,"",2,
"dbo","AA_ADM_ESTABELECIMENTOS","VERSAOESPELHAMENTO","int",,YES,"",3,
"dbo","AA_ADM_ESTABELECIMENTOS","CORRELATIONID","varchar",40,YES,"",4,
"dbo","AA_ADM_ESTABELECIMENTOS","HANDLEREGISTROREFERENCIA","int",,YES,"",5,
"dbo","AA_BF_PACOTEFUNCDATAESCOLHAS","HANDLE","int",,NO,"",1,PK
