FK_NAME,PARENT_SCHEMA,PARENT_TABLE,PARENT_COLUMN,REF_SCHEMA,REF_TABLE,REF_COLUMN
"FK_6685_56547","dbo","AA_ACOESCOLECAOIMPLEMENTADA","CAMPOENTIDADE","dbo","Z_CAMPOS","HANDLE"
"FK_6685_56553","dbo","AA_ACOESCOLECAOIMPLEMENTADA","COLECAOIMPLEMENTADA","dbo","AA_COLECOESIMPLEMENTADAS","HANDLE"
"FK_6248_55490","dbo","AA_COLECOES","COLECAOPAI","dbo","AA_COLECOES","HANDLE"
"FK_6248_55494","dbo","AA_COLECOES","COLECAOIMPLEMENTADA","dbo","AA_COLECOESIMPLEMENTADAS","HANDLE"
"FK_6245_55514","dbo","AA_COLECOESIMPLEMENTADAS","TABELAREFERENCIAORIGEM","dbo","Z_TABELAS","HANDLE"
"FK_6253_55517","dbo","AA_CONFIGCAMPOCUSTOMIZADO","COLECAOIMPLEMENTADA","dbo","AA_COLECOESIMPLEMENTADAS","HANDLE"
"FK_6253_55518","dbo","AA_CONFIGCAMPOCUSTOMIZADO","CAMPO","dbo","Z_CAMPOS","HANDLE"
"FK_6253_55519","dbo","AA_CONFIGCAMPOCUSTOMIZADO","TABELA","dbo","Z_TABELAS","HANDLE"
"FK_6253_55527","dbo","AA_CONFIGCAMPOCUSTOMIZADO","CAMPOFORMULARIO","dbo","AA_CONFIGCAMPOFORMULARIO","HANDLE"
"FK_6254_55520","dbo","AA_CONFIGCAMPOFORMULARIO","CAMPOLIGACAO","dbo","Z_CAMPOS","HANDLE"
"FK_6254_55522","dbo","AA_CONFIGCAMPOFORMULARIO","TABELALIGACAO","dbo","Z_TABELAS","HANDLE"
"FK_6254_55525","dbo","AA_CONFIGCAMPOFORMULARIO","CAMPOORIGEMLIGACAO","dbo","Z_CAMPOS","HANDLE"
"FK_6254_55526","dbo","AA_CONFIGCAMPOFORMULARIO","COLECAOIMPLEMENTADA","dbo","AA_COLECOESIMPLEMENTADAS","HANDLE"
"FK_6257_55591","dbo","AA_CONFIGDETALHECAMPOS","TABELA","dbo","Z_TABELAS","HANDLE"
"FK_6257_55592","dbo","AA_CONFIGDETALHECAMPOS","CAMPO","dbo","Z_CAMPOS","HANDLE"
"FK_6257_55607","dbo","AA_CONFIGDETALHECAMPOS","CONFIGDETALHELINHA","dbo","AA_CONFIGDETALHELINHAS","HANDLE"
"FK_6258_55608","dbo","AA_CONFIGDETALHELINHAS","CONFIGDETALHE","dbo","AA_CONFIGDETALHES","HANDLE"
"FK_6259_55597","dbo","AA_CONFIGDETALHES","CAMPOLIGACAO","dbo","Z_CAMPOS","HANDLE"
"FK_6259_55599","dbo","AA_CONFIGDETALHES","TABELALIGACAO","dbo","Z_TABELAS","HANDLE"
"FK_6259_55602","dbo","AA_CONFIGDETALHES","DETALHEPAI","dbo","AA_CONFIGDETALHES","HANDLE"
"FK_6259_55604","dbo","AA_CONFIGDETALHES","CAMPOORIGEMLIGACAO","dbo","Z_CAMPOS","HANDLE"
"FK_6259_55605","dbo","AA_CONFIGDETALHES","COLECAOIMPLEMENTADA","dbo","AA_COLECOESIMPLEMENTADAS","HANDLE"
"FK_6667_56413","dbo","AA_CONFIGURACAODOMINIOS","EMPRESA","dbo","ADM_EMPRESAS","HANDLE"
"FK_6656_56320","dbo","AA_DO_FUNCIONARIOCARGOS","CLASSE","dbo","CS_CLASSES","HANDLE"
"FK_6656_56322","dbo","AA_DO_FUNCIONARIOCARGOS","CARGO","dbo","CS_CARGOS","HANDLE"
"FK_6656_56325","dbo","AA_DO_FUNCIONARIOCARGOS","MOTIVO","dbo","CS_MOTIVOSREAJUSTE","HANDLE"
"FK_6413_57184","dbo","AA_DO_FUNCIONARIOS_PROFISSAO","CARGO","dbo","CS_CARGOS","HANDLE"
"FK_6654_56295","dbo","AA_DO_FUNCIONARIOS_SALARIO","MOTIVO","dbo","CS_MOTIVOSREAJUSTE","HANDLE"
"FK_6242_56420","dbo","AA_DO_FUNCIONARIOS_USUARIO","ESPELHAMENTOPRINCIPAL","dbo","AA_AA_USUARIOS","HANDLE"
"FK_6241_57183","dbo","AA_DO_FUNCIONARIOS_VINCULO","CARGO","dbo","CS_CARGOS","HANDLE"
"FK_6659_56376","dbo","AA_EC_TURMAHORARIOS","ESPELHAMENTOPRINCIPAL","dbo","AA_EC_CURSOPARTICIPANTES","HANDLE"
"FK_6244_55481","dbo","AA_FILAENVIO","COLECAO","dbo","AA_COLECOESIMPLEMENTADAS","HANDLE"
"FK_7165_59054","dbo","AA_FORMULARIOSOLICITACAOCAMPOS","FORMULARIOSOLICITACAO","dbo","AA_FORMULARIOSOLICITACOES","HANDLE"
"FK_6837_57146","dbo","AA_FP_FUNCEMPRESTIMOPARCELAS","ESPELHAMENTOPRINCIPAL","dbo","AA_FP_FUNCIONARIOEMPRESTIMOS","HANDLE"
"FK_6838_57154","dbo","AA_FP_FUNCIONARIOFERIASGOZADAS","ESPELHAMENTOPRINCIPAL","dbo","AA_FP_FUNCFERIASADQUIRIDAS","HANDLE"
"FK_6838_57156","dbo","AA_FP_FUNCIONARIOFERIASGOZADAS","SOLICITACAOCANCELAMENTO","dbo","QUI_FUNCCANCELAMENTOFERIAS","HANDLE"
"FK_6673_56439","dbo","AA_FP_FUNCPAGAMENTO_VINCULO","ESPELHAMENTOPRINCIPAL","dbo","AA_DO_FUNCIONARIOS_VINCULO","HANDLE"
"FK_7107_58543","dbo","AA_NOTIFICACOES","TIPO","dbo","AA_NOTIFICACAOTIPOS","HANDLE"
"FK_6658_56356","dbo","AA_PO_FUNACEGEOLOCALIZACAO","ESPELHAMENTOPRINCIPAL","dbo","AA_TMP_POW_AJUSTEPONTODIASCALC","HANDLE"
"FK_1379_10639","dbo","AC_ACIONAMENTOSIRENE","CODRELOGIO","dbo","PO_RELOGIOS","HANDLE"
"FK_1396_12451","dbo","AC_ACOMPANHAVISITANTES","SEQREG","dbo","AC_MOVIMENTOSVISITANTE","HANDLE"
"FK_1396_12452","dbo","AC_ACOMPANHAVISITANTES","TIPDOC","dbo","AC_TIPODOCUMENTO","HANDLE"
"FK_1396_13022","dbo","AC_ACOMPANHAVISITANTES","VISITANTE","dbo","AC_VISITANTES","HANDLE"
"FK_1396_15958","dbo","AC_ACOMPANHAVISITANTES","TIPO","dbo","PO_TIPFUN","HANDLE"
"FK_1407_10886","dbo","AC_AGENDA","FUNCIONARIO","dbo","DO_FUNCIONARIOS","HANDLE"
"FK_1407_12459","dbo","AC_AGENDA","SITAGE","dbo","AC_SITUACAOAGENDA","HANDLE"
"FK_1407_12460","dbo","AC_AGENDA","TIPOAGE","dbo","AC_TIPOAGENDA","HANDLE"
"FK_1407_12462","dbo","AC_AGENDA","EMPRESA","dbo","ADM_EMPRESAS","HANDLE"
"FK_1398_10793","dbo","AC_AGENDAVISITAS","FUNCIONARIO","dbo","DO_FUNCIONARIOS","HANDLE"
"FK_1398_10823","dbo","AC_AGENDAVISITAS","CODUSU","dbo","Z_GRUPOUSUARIOS","HANDLE"
"FK_1398_10853","dbo","AC_AGENDAVISITAS","TIPOVISITA","dbo","AC_TIPOSVISITAS","HANDLE"
"FK_1398_12461","dbo","AC_AGENDAVISITAS","EMPRESA","dbo","ADM_EMPRESAS","HANDLE"
"FK_1398_13009","dbo","AC_AGENDAVISITAS","NUMDOC","dbo","AC_VISITANTES","HANDLE"
"FK_1397_10785","dbo","AC_AGENDAVISITASACOMP","FUNCIONARIO","dbo","DO_FUNCIONARIOS","HANDLE"
"FK_1397_12468","dbo","AC_AGENDAVISITASACOMP","SEQAGENDA","dbo","AC_AGENDAVISITAS","HANDLE"
"FK_1397_12469","dbo","AC_AGENDAVISITASACOMP","TIPODOC","dbo","AC_TIPODOCUMENTO","HANDLE"
"FK_1391_10726","dbo","AC_CADASTROFUNOUTRAUNIDADES","CODSERV","dbo","AC_SERVIDORES","HANDLE"
"FK_1391_10816","dbo","AC_CADASTROFUNOUTRAUNIDADES","CODPRM","dbo","PO_PERMISSOES","HANDLE"
"FK_1391_13032","dbo","AC_CADASTROFUNOUTRAUNIDADES","OUTRAUNIDADE","dbo","AC_OUTRAEMPRESAS","HANDLE"
"FK_1404_12479","dbo","AC_CADPESSOASNAOGRATAS","TIPODOC","dbo","AC_TIPODOCUMENTO","HANDLE"
"FK_1404_12480","dbo","AC_CADPESSOASNAOGRATAS","VINCULO","dbo","AC_VEICULOPESSOANAOGRATA","HANDLE"
"FK_1643_13106","dbo","AC_COMANDOS","COMANDOS","dbo","AC_TIPOCOMANDOS","HANDLE"
"FK_1647_13035","dbo","AC_COMANDOSCOLETORES","COLETOR","dbo","PO_COLETORES","HANDLE"
"FK_1647_13105","dbo","AC_COMANDOSCOLETORES","TIPOCOMANDO","dbo","AC_TIPOCOMANDOS","HANDLE"
"FK_1648_13062","dbo","AC_CONSULTAS","TIPFUN","dbo","PO_TIPFUN","HANDLE"
"FK_1648_13913","dbo","AC_CONSULTAS","RELATORIO","dbo","R_RELATORIOS","HANDLE"
"FK_1648_13930","dbo","AC_CONSULTAS","EMPRESA","dbo","ADM_EMPRESAS","HANDLE"
"FK_1380_10645","dbo","AC_CREDACCFUNCIONARIO","FUNCIONARIO","dbo","DO_FUNCIONARIOS","HANDLE"
"FK_1380_12482","dbo","AC_CREDACCFUNCIONARIO","EMPRESA","dbo","ADM_EMPRESAS","HANDLE"
"FK_1380_19071","dbo","AC_CREDACCFUNCIONARIO","FUNCSIMPLIFICADO","dbo","AC_FUNCIONARIOS","HANDLE"
"FK_1383_12485","dbo","AC_CREDACCVISITANTE","NUMDOC","dbo","AC_VISITANTES","HANDLE"
"FK_1383_13011","dbo","AC_CREDACCVISITANTE","VISITANTE","dbo","AC_VISITANTES","HANDLE"
"FK_1389_10709","dbo","AC_CREDACESSOFUNUNIDADE","FUNCIONARIO","dbo","AC_CADASTROFUNOUTRAUNIDADES","HANDLE"
"FK_1384_12490","dbo","AC_DEFINICOESACESSO","NOMEMOD","dbo","R_RELATORIOS","HANDLE"
"FK_1384_15184","dbo","AC_DEFINICOESACESSO","VERSAO","dbo","AC_VERSAOCOLETORES","HANDLE"
"FK_1410_10901","dbo","AC_DESTRECADOS","FUNCIONARIO","dbo","DO_FUNCIONARIOS","HANDLE"
"FK_1410_12491","dbo","AC_DESTRECADOS","EMPRESA","dbo","ADM_EMPRESAS","HANDLE"
"FK_1410_12492","dbo","AC_DESTRECADOS","FUNDESTINO","dbo","PO_FUNCIONARIOS","HANDLE"
"FK_1410_12493","dbo","AC_DESTRECADOS","SITMSG","dbo","AC_SITUACAOAGENDA","HANDLE"
"FK_1410_12494","dbo","AC_DESTRECADOS","CODPASTA","dbo","AC_PASTASARQUIVAREC","HANDLE"
"FK_1402_10843","dbo","AC_ENTRASAIVISITANTE","FUNCIONARIO","dbo","DO_FUNCIONARIOS","HANDLE"
"FK_1402_10852","dbo","AC_ENTRASAIVISITANTE","TIPOVISITA","dbo","AC_TIPOSVISITAS","HANDLE"
"FK_1402_10856","dbo","AC_ENTRASAIVISITANTE","CODUSU","dbo","Z_GRUPOUSUARIOS","HANDLE"
"FK_1402_12497","dbo","AC_ENTRASAIVISITANTE","HIERARQUIA","dbo","ADM_HIERARQUIAS","HANDLE"
"FK_1402_13010","dbo","AC_ENTRASAIVISITANTE","NUMDOC","dbo","AC_VISITANTES","HANDLE"
"FK_2236_18904","dbo","AC_FUNCIONARIOS","PERMISSAO","dbo","PO_PERMISSOES","HANDLE"
"FK_2236_19070","dbo","AC_FUNCIONARIOS","TIPOFUNCIONARIO","dbo","PO_TIPFUN","HANDLE"
"FK_1399_10818","dbo","AC_GRUPOVISITANTES","CODPRM","dbo","PO_PERMISSOES","HANDLE"
"FK_1399_10822","dbo","AC_GRUPOVISITANTES","CODUSU","dbo","Z_GRUPOUSUARIOS","HANDLE"
