FK_NAME,PARENT_SCHEMA,PARENT_TABLE,PARENT_COLUMN,REF_SCHEMA,REF_TABLE,REF_COLUMN
"FK_5404_67016","dbo","AE_ADIANTAMENTOSCLIENTE","CLIENTE","dbo","GN_PESSOAS","HANDLE"
"FK_5404_67018","dbo","AE_ADIANTAMENTOSCLIENTE","FILIAL","dbo","FILIAIS","HANDLE"
"FK_5404_67404","dbo","AE_ADIANTAMENTOSCLIENTE","EVENTO","dbo","AE_EVENTOS","HANDLE"
"FK_5404_67406","dbo","AE_ADIANTAMENTOSCLIENTE","DOCUMENTO","dbo","FN_DOCUMENTOS","HANDLE"
"FK_3150_39440","dbo","AE_ANEXOS","BRIEFING","dbo","AE_BRIEFING","HANDLE"
"FK_2856_34565","dbo","AE_BRIEFING","EVENTO","dbo","AE_EVENTOS","HANDLE"
"FK_2856_34567","dbo","AE_BRIEFING","ORIGEM","dbo","MUNICIPIOS","HANDLE"
"FK_2856_34568","dbo","AE_BRIEFING","DESTINO","dbo","MUNICIPIOS","HANDLE"
"FK_2856_34577","dbo","AE_BRIEFING","USUARIOINCLUIU","dbo","Z_GRUPOUSUARIOS","HANDLE"
"FK_2856_34579","dbo","AE_BRIEFING","USUARIOALTEROU","dbo","Z_GRUPOUSUARIOS","HANDLE"
"FK_2856_43193","dbo","AE_BRIEFING","SUBSTITUIRBRIEFING","dbo","AE_BRIEFING","HANDLE"
"FK_2856_43195","dbo","AE_BRIEFING","USUARIOCANCELOU","dbo","Z_GRUPOUSUARIOS","HANDLE"
"FK_2856_65450","dbo","AE_BRIEFING","TIPOMISCELANEO","dbo","BB_TIPOMISCELANIO","HANDLE"
"FK_2977_36527","dbo","AE_BRIEFINGCOTACOES","BRIEFING","dbo","AE_BRIEFING","HANDLE"
"FK_2977_36529","dbo","AE_BRIEFINGCOTACOES","FORNECEDOR","dbo","GN_PESSOAS","HANDLE"
"FK_2977_36541","dbo","AE_BRIEFINGCOTACOES","USUARIOINCLUIU","dbo","Z_GRUPOUSUARIOS","HANDLE"
"FK_2977_36543","dbo","AE_BRIEFINGCOTACOES","USUARIOALTEROU","dbo","Z_GRUPOUSUARIOS","HANDLE"
"FK_2882_34849","dbo","AE_BRIEFINGSEGMENTO","BRIEFING","dbo","AE_BRIEFING","HANDLE"
"FK_2882_34850","dbo","AE_BRIEFINGSEGMENTO","SEGMENTO","dbo","AE_SEGMENTO","HANDLE"
"FK_2862_34658","dbo","AE_CONTRATO","EVENTO","dbo","AE_EVENTOS","HANDLE"
"FK_2862_34895","dbo","AE_CONTRATO","PROPOSTA","dbo","AE_PROPOSTA","HANDLE"
"FK_8222_98003","dbo","AE_EVENTODOCUMENTOANEXOS","EVENTODOCUMENTO","dbo","AE_EVENTODOCUMENTOS","HANDLE"
"FK_7704_92880","dbo","AE_EVENTODOCUMENTOITENS","DOCUMENTO","dbo","AE_EVENTODOCUMENTOS","HANDLE"
"FK_7704_92882","dbo","AE_EVENTODOCUMENTOITENS","FORNECEDOR","dbo","GN_PESSOAS","HANDLE"
